384 192 64

2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 

73 59   145 31   217 22   361 44   
74 32   146 4   218 17   362 58   
75 15   147 28   219 6   363 43   
76 9   148 18   220 46   364 31   
77 21   149 36   221 8   365 62   
78 26   150 39   222 17   366 54   
79 40   151 62   223 49   367 14   
80 46   152 11   224 37   368 59   
81 40   153 18   225 27   369 55   
82 27   154 49   226 1   370 36   
83 33   155 46   227 61   371 24   
84 28   156 43   228 15   372 6   
85 35   157 7   229 20   373 61   
86 41   158 54   230 6   374 32   
87 10   159 38   231 1   375 23   
88 33   160 11   232 20   376 48   
89 8   161 23   233 49   377 58   
90 12   162 21   234 49   378 34   
91 39   163 26   235 54   379 17   
92 14   164 55   236 29   380 1   
93 45   165 54   237 4   381 19   
94 14   166 51   238 23   382 36   
95 61   167 24   239 33   383 46   
96 17   168 45   240 30   384 8   
73 36   97 21   193 62   337 8   
74 49   98 34   194 21   338 12   
75 15   99 28   195 6   339 43   
76 37   100 50   196 28   340 2   
77 6   101 47   197 56   341 21   
78 54   102 0   198 28   342 13   
79 16   103 7   199 44   343 29   
80 47   104 6   200 21   344 56   
81 20   105 46   201 5   345 55   
82 23   106 58   202 49   346 8   
83 38   107 51   203 29   347 3   
84 5   108 20   204 46   348 55   
85 47   109 60   205 38   349 12   
86 50   110 22   206 13   350 35   
87 54   111 13   207 28   351 0   
88 33   112 5   208 18   352 59   
89 59   113 11   209 37   353 46   
90 55   114 5   210 20   354 46   
91 30   115 17   211 45   355 8   
92 28   116 13   212 54   356 0   
93 2   117 52   213 17   357 43   
94 32   118 23   214 60   358 45   
95 32   119 6   215 41   359 54   
96 5   120 59   216 18   360 33   
25 57   121 22   153 48   313 7   
26 26   122 61   154 11   314 52   
27 31   123 22   155 59   315 44   
28 62   124 21   156 8   316 36   
29 60   125 6   157 19   317 34   
30 55   126 46   158 20   318 5   
31 38   127 25   159 16   319 53   
32 23   128 36   160 14   320 51   
33 13   129 35   161 22   321 50   
34 26   130 35   162 0   322 48   
35 61   131 24   163 46   323 33   
36 26   132 4   164 41   324 13   
37 58   133 8   165 49   325 23   
38 47   134 32   166 10   326 19   
39 13   135 39   167 61   327 48   
40 44   136 9   168 57   328 35   
41 49   137 1   145 36   329 27   
42 12   138 27   146 53   330 62   
43 47   139 38   147 12   331 60   
44 46   140 37   148 59   332 11   
45 54   141 26   149 39   333 17   
46 41   142 4   150 13   334 26   
