96 16 64

2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 

1 44   9 23   25 35   33 29   41 6   49 52   57 50   65 18   73 38   81 12   89 0   17 58   
2 50   10 48   26 36   34 61   42 27   50 10   58 21   66 42   74 56   82 33   90 4   18 16   
3 51   11 45   27 19   35 59   43 53   51 1   59 13   67 30   75 39   83 24   91 36   19 7   
4 0   12 42   28 25   36 48   44 31   52 8   60 57   68 36   76 2   84 51   92 13   20 19   
1 40   13 26   21 34   27 0   37 57   45 32   50 51   61 17   69 45   76 5   85 20   93 11   
2 58   14 52   22 44   28 35   38 12   46 18   51 6   62 23   70 29   73 38   86 0   94 50   
3 52   15 37   23 14   25 58   39 3   47 43   52 46   63 20   71 8   74 31   87 60   95 26   
4 5   16 36   24 53   26 59   40 24   48 11   49 62   64 19   72 47   75 13   88 42   96 30   
5 31   13 16   29 43   38 45   44 56   53 51   63 22   66 37   77 28   88 5   89 62   19 11   
6 2   14 4   30 59   39 27   41 50   54 15   64 21   67 10   78 33   85 38   90 44   20 53   
7 36   15 19   31 13   40 51   42 2   55 25   61 57   68 59   79 42   86 7   91 45   17 30   
8 36   16 50   32 27   37 48   43 56   56 21   62 10   65 33   80 4   87 42   92 16   18 61   
5 20   10 8   23 43   32 52   36 26   45 46   55 60   57 14   72 37   78 58   83 31   94 3   
6 50   11 61   24 48   29 33   33 27   46 56   56 10   58 36   69 21   79 16   84 4   95 42   
7 23   12 17   21 11   30 40   34 0   47 34   53 61   59 6   70 55   80 49   81 29   96 46   
8 14   9 1   22 49   31 20   35 52   48 37   54 43   60 58   71 9   77 32   82 3   93 26 
